Date,Open,High,Low,Close,Adj Close,Volume
2010-09-09,63.8,64.8,63.66,64.15,42.32,5297755
2010-09-13,64.6,66.58,64.43,66.12,43.62,12927910
2010-09-14,66.4,67.0,65.02,65.74,43.37,8993460
2010-09-15,66.0,67.49,65.2,65.33,43.1,11953670
2010-09-16,65.62,67.0,65.2,65.86,43.45,12823135
2010-09-17,65.4,66.58,65.2,65.89,43.47,9792865
2010-09-20,66.2,66.63,65.28,66.43,43.82,6478475
2010-09-21,66.6,67.69,65.65,65.84,43.43,14427795
2010-09-22,65.73,66.74,65.14,66.47,43.85,7066025
2010-09-23,66.8,68.2,66.3,67.56,44.57,16191605
2010-09-24,67.56,67.72,66.62,67.39,44.46,6469355
2010-09-27,67.8,69.44,67.47,69.13,45.6,12002865
2010-09-28,67.8,70.92,67.8,70.29,46.37,9442335
2010-09-29,70.62,71.74,70.2,70.56,46.55,17306235
2010-09-30,70.42,70.99,68.6,70.03,46.2,11737700
2010-10-01,70.8,72.09,70.57,71.4,47.1,3722475
2010-10-04,72.34,72.9,71.04,71.8,47.36,12549825
2010-10-05,72.0,72.1,70.4,70.62,46.59,8813815
2010-10-06,71.2,71.55,70.2,70.42,46.45,4794225
2010-10-07,70.8,70.8,68.63,68.96,45.49,7249475
2010-10-08,69.13,70.58,68.75,70.28,46.36,8242535
2010-10-11,70.77,71.75,70.21,70.81,46.71,10663825
2010-10-12,66.54,71.28,66.54,69.6,45.91,7888720
2010-10-13,69.98,70.9,69.52,70.54,46.53,5981070
2010-10-14,70.93,71.18,69.85,70.06,46.22,3919180
2010-10-15,70.22,70.22,69.2,69.41,45.79,2759265
2010-10-18,69.6,71.34,68.22,70.96,46.81,10247000
2010-10-19,70.8,71.68,68.96,69.38,45.77,6109075
2010-10-20,69.59,70.79,69.26,70.47,46.49,14248045
2010-10-21,70.47,71.3,68.9,70.76,46.68,13544650
2010-10-22,71.4,74.54,71.3,73.84,48.71,21616995
2010-10-25,74.4,74.8,73.2,74.47,49.13,9667585
2010-10-26,74.6,76.0,73.93,75.77,49.98,9453330
2010-10-27,75.6,76.0,73.07,73.79,48.68,4802505
2010-10-28,74.01,74.46,71.02,71.83,47.38,10555535
2010-10-29,72.0,72.68,70.2,71.9,47.43,8917655
2010-11-01,71.9,74.0,71.9,73.87,48.73,4418650
2010-11-02,74.13,75.2,73.19,74.03,48.84,6357795
2010-11-03,74.7,75.19,74.1,74.51,49.15,3750175
2010-11-04,74.64,75.1,74.01,74.42,49.09,4108145
2010-11-08,74.41,75.2,74.0,74.32,49.03,1826310
2010-11-09,74.4,74.8,72.82,73.66,48.59,3879155
2010-11-10,73.68,74.2,73.2,73.76,48.66,1442595
2010-11-11,74.0,74.03,71.02,71.29,47.03,5767760
2010-11-12,71.6,71.6,69.02,69.36,45.75,6484470
2010-11-15,69.7,71.55,68.06,71.33,47.05,5346515
2010-11-16,71.8,72.02,66.0,66.45,43.84,13581775
2010-11-18,66.62,68.24,61.74,64.44,42.51,30811560
2010-11-19,65.0,66.4,63.06,64.36,42.46,13063555
2010-11-22,64.4,66.0,64.0,65.68,43.33,7390675
2010-11-23,65.2,65.98,62.0,64.76,42.72,6178070
2010-11-24,64.82,65.59,63.0,63.32,41.77,7209965
2010-11-25,63.32,63.6,60.5,61.03,40.26,20987305
2010-11-26,61.22,64.19,58.0,61.42,40.52,21125330
2010-11-29,61.94,62.85,61.0,61.58,40.62,7168645
2010-11-30,62.2,62.48,60.75,61.23,40.39,27414595
2010-12-01,61.78,66.94,61.62,65.94,43.5,19027190
2010-12-02,66.6,68.35,66.11,67.14,44.29,12375410
2010-12-03,67.3,67.6,65.06,65.99,43.53,8312995
